"lon_test","lat_test","name"
18.8133472111542,45.162442537304,"lat:  45.162442537304 , lon:  18.8133472111542"
16.5031030749437,44.913151179254,"lat:  44.913151179254 , lon:  16.5031030749437"
16.5699617617531,45.2797344453633,"lat:  45.2797344453633 , lon:  16.5699617617531"
13.6871260475368,44.8043984075542,"lat:  44.8043984075542 , lon:  13.6871260475368"
15.5833079513629,44.4502389084082,"lat:  44.4502389084082 , lon:  15.5833079513629"
16.9434580230155,44.5382569289766,"lat:  44.5382569289766 , lon:  16.9434580230155"
17.7343717561337,43.6517484602984,"lat:  43.6517484602984 , lon:  17.7343717561337"
18.9406819793629,43.9418361351825,"lat:  43.9418361351825 , lon:  18.9406819793629"
17.339390995726,44.7835051005706,"lat:  44.7835051005706 , lon:  17.339390995726"
15.6170734537766,43.6440828181337,"lat:  43.6440828181337 , lon:  15.6170734537766"
16.5483361258405,43.9213899971451,"lat:  43.9213899971451 , lon:  16.5483361258405"
15.0616169236135,45.7464784440119,"lat:  45.7464784440119 , lon:  15.0616169236135"
18.1530183179305,46.4253277766053,"lat:  46.4253277766053 , lon:  18.1530183179305"
14.2427738339408,43.2917978954501,"lat:  43.2917978954501 , lon:  14.2427738339408"
15.6496130587301,43.6572890935931,"lat:  43.6572890935931 , lon:  15.6496130587301"
15.5772092116066,46.0034176114481,"lat:  46.0034176114481 , lon:  15.5772092116066"
16.6759273543722,45.6128063936252,"lat:  45.6128063936252 , lon:  16.6759273543722"
14.1825080839918,45.6026901486795,"lat:  45.6026901486795 , lon:  14.1825080839918"
14.573081281432,43.4060178160202,"lat:  43.4060178160202 , lon:  14.573081281432"
14.9365512330086,44.3993612513877,"lat:  44.3993612513877 , lon:  14.9365512330086"
13.7678028456169,45.6606875082478,"lat:  45.6606875082478 , lon:  13.7678028456169"
18.6852810365614,45.3643145241309,"lat:  45.3643145241309 , lon:  18.6852810365614"
15.7511720197509,43.3151383258868,"lat:  43.3151383258868 , lon:  15.7511720197509"
17.8135974110338,43.1022499328945,"lat:  43.1022499328945 , lon:  17.8135974110338"
